1: France, 0, 10;
2: France, 1, 10;
3: France, 2, 10; France, 1, 4;
4: France, 2, 10; Spain, 3, 10;
5: Spain, 3, 20; France, 2, 4;
6: Spain, 3, 14; France, 5, 10;
7: Spain, 3, 14; France, 5, 10; Italy, 6, 10;
8: France, 5, 10; Italy, 6, 10; France, 7, 10;
9: France, 5, 14; Italy, 6, 10; France, 7, 10;
10: France, 5, 14; France, 7, 10; Spain, 9, 10;
11: France, 7, 20; France, 5, 14; Spain, 9, 10;
12: France, 7, 14; France, 5, 10; Spain, 9, 10;
13: France, 7, 14; Spain, 9, 10; Spain, 11, 10;
14: Spain, 11, 20; France, 7, 14; Spain, 9, 10;
15: Spain, 11, 20; Italy, 12, 20; France, 7, 14;
16: Spain, 11, 20; Italy, 12, 20; France, 15, 10;
17: Italy, 12, 20; France, 5, 14; Spain, 11, 14;
18: Italy, 12, 20; Spain, 11, 14; France, 5, 10;
19: Spain, 11, 14; Italy, 12, 14; France, 5, 10;
20: Italy, 12, 24; France, 5, 10; France, 15, 10;
21: Italy, 12, 24; France, 5, 10; France, 15, 10;
22: Italy, 12, 18; France, 5, 10; France, 15, 10;
23: Italy, 12, 18; France, 5, 10; Spain, 17, 10;
24: Italy, 12, 18; Spain, 17, 10; France, 18, 10;
25: France, 20, 20; Italy, 12, 18; Spain, 17, 10;
26: France, 20, 20; Spain, 11, 14; Italy, 12, 14;
27: France, 20, 20; Spain, 11, 14; Italy, 12, 14;
28: France, 20, 20; Italy, 12, 14; Spain, 11, 10;
29: France, 20, 20; Spain, 11, 10; Spain, 21, 10;
30: France, 20, 14; Spain, 11, 10; Spain, 21, 10;
31: France, 20, 14; Spain, 11, 10; France, 22, 10;
32: France, 20, 14; Spain, 21, 14; Spain, 11, 10;
33: France, 20, 14; Spain, 21, 14; France, 22, 14;
34: France, 20, 14; Spain, 21, 14; France, 22, 14;
35: France, 20, 14; Spain, 21, 14; France, 22, 14;
36: Spain, 21, 14; France, 22, 14; Spain, 11, 10;
37: France, 22, 24; Spain, 21, 14; Spain, 26, 10;
38: France, 22, 24; Italy, 27, 20; Spain, 21, 14;
39: France, 22, 24; Italy, 27, 20; Spain, 11, 14;
40: France, 22, 24; France, 35, 20; Spain, 11, 14;
41: France, 22, 34; France, 35, 20; Spain, 11, 14;
42: France, 22, 34; France, 35, 20; Spain, 11, 14;
43: France, 22, 34; France, 35, 20; France, 41, 20;
44: France, 22, 34; France, 35, 20; France, 41, 20;
45: France, 22, 44; France, 35, 20; France, 41, 20;
46: France, 22, 40; France, 35, 20; France, 41, 20;
47: France, 22, 34; France, 35, 20; France, 41, 20;
48: France, 22, 34; France, 34, 20; France, 35, 20;
49: France, 22, 34; France, 34, 20; France, 35, 20;
50: France, 22, 34; France, 41, 30; France, 35, 20;
